Lines,Frequency
1,291
2,1063
3,520
4,617
5,420
6,407
7,217
8,283
9,212
10,219
11,167
12,155
13,123
14,98
15,122
16,108
17,79
18,99
19,79
20,83
21,73
22,71
23,62
24,65
25,54
26,67
27,55
28,50
29,34
30,63
31,44
32,43
33,49
34,47
35,28
36,42
37,26
38,32
39,34
40,39
41,39
42,41
43,23
44,24
45,30
46,30
47,29
48,24
49,39
50,18
51,25
52,25
53,22
54,27
55,12
56,19
57,19
58,24
59,22
60,11
61,15
62,25
63,13
64,16
65,22
66,7
67,15
68,8
69,17
70,20
71,13
72,17
73,9
74,16
75,9
76,23
77,17
78,19
79,11
80,13
81,14
82,8
83,6
84,12
85,13
86,10
87,8
88,6
89,10
90,9
91,12
92,15
93,5
94,5
95,10
96,9
97,7
98,14
99,6
100,11
101,9
102,8
103,11
104,9
105,8
106,7
107,5
108,7
109,6
110,5
111,9
112,9
113,7
114,6
115,9
116,4
117,6
118,5
119,1
120,2
121,7
122,3
123,3
124,7
125,6
126,5
127,3
128,4
129,5
130,5
131,7
132,3
133,5
134,3
135,2
136,1
137,3
138,2
139,5
141,2
142,5
143,4
144,8
145,5
146,5
147,6
148,3
149,3
150,3
151,6
152,1
153,4
154,2
155,1
156,1
157,6
158,6
159,6
160,3
161,5
162,3
163,5
164,1
165,7
166,6
167,4
169,2
170,3
171,4
172,3
173,1
174,2
175,3
176,1
178,3
179,3
180,1
182,2
183,2
184,2
185,1
186,1
187,4
188,3
189,1
190,1
191,1
192,6
193,2
194,3
195,2
196,3
197,1
199,1
200,1
201,2
202,3
205,3
206,2
207,2
208,4
209,5
210,3
211,3
212,2
213,2
216,3
217,4
218,1
219,2
220,1
221,1
222,1
223,1
224,1
225,1
227,1
228,2
230,3
232,1
233,1
234,2
238,2
240,4
242,1
243,1
244,2
245,1
247,1
248,1
249,2
250,3
251,1
253,1
254,2
257,3
258,1
259,1
260,1
261,3
264,1
265,1
266,2
267,1
268,1
270,2
271,1
272,3
274,1
276,2
277,2
278,3
279,4
280,1
281,1
282,1
283,1
284,1
285,2
286,1
288,5
290,2
291,1
293,1
294,1
295,1
296,3
299,1
301,2
302,1
306,1
310,1
311,2
318,1
320,2
321,1
325,1
326,1
327,1
328,1
338,3
339,1
340,3
341,1
342,2
343,1
345,1
350,1
354,1
355,1
359,1
361,2
364,1
365,1
368,1
371,2
373,3
374,1
375,1
377,1
380,1
381,2
385,1
387,1
396,1
400,1
403,1
404,1
405,2
406,2
409,2
410,1
414,1
415,1
423,1
427,1
428,1
429,1
435,1
440,1
442,2
455,1
461,1
463,1
465,1
468,1
477,1
481,1
482,1
491,1
496,1
501,2
504,1
505,1
512,1
519,1
524,1
525,1
535,1
537,1
539,1
540,1
549,2
550,1
552,1
569,1
574,1
582,1
590,1
610,1
614,1
627,1
629,1
645,1
672,2
679,1
683,1
706,1
707,1
721,1
762,1
765,1
766,1
768,1
773,1
797,1
805,1
829,1
834,1
839,1
856,1
859,1
868,1
891,1
921,1
942,1
962,1
1006,1
1067,1
1071,1
1151,1
1164,1
1177,1
1261,1
1343,1
1401,1
1495,1
1608,1
1678,1
1817,1
1852,1
